Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco
RM,4224,5,1976,TA,1,3,4,6,1,2,129900
RM,4608,4,1945,TA,1,2,3,4,0,1,80000
RM,1596,4,1973,TA,1,2,3,5,0,1,91000
RM,4500,6,1998,Ex,2,2,3,5,0,2,153500
RM,6000,5,1948,Ex,1,2,3,5,0,1,115000
RL,4928,6,1976,TA,2,2,3,5,1,2,128000
RM,2522,6,2004,Ex,2,3,4,7,0,2,130000
RL,5500,4,1956,Ex,1,1,2,4,0,0,103200
RM,2522,7,2004,Ex,2,3,4,7,0,2,130000
RL,2280,6,1976,TA,2,3,4,7,1,2,148500
RM,4438,6,2004,Ex,1,1,2,3,1,2,149000
RM,3500,5,1947,TA,1,2,3,5,0,1,110000
RL,3010,7,2005,Ex,2,2,3,5,0,2,167240
RM,1680,5,1971,TA,2,3,4,6,0,1,112000
RM,1869,6,1970,TA,1,2,3,5,0,1,106000
RM,1680,6,1972,TA,1,2,3,5,1,1,94500
RM,1680,6,1971,TA,1,2,3,5,0,1,89500
RM,3880,5,1945,Gd,1,2,3,4,0,0,110500
RM,2592,5,1976,TA,1,3,4,4,0,1,85000
RL,2448,7,2003,Ex,2,2,3,6,0,2,154000
RM,4224,5,1976,TA,1,3,4,6,1,2,134000
RM,1680,6,1972,Gd,1,2,3,5,0,1,118000
RM,3378,7,1946,Gd,1,3,4,6,2,1,135000
RM,1680,6,1971,TA,1,2,3,4,0,1,85400
RM,1920,5,1971,Ex,1,2,3,6,0,2,122500
RM,1890,4,1972,Gd,1,1,2,3,0,0,81000
RM,3675,6,2005,Ex,1,2,3,5,0,2,148000
RM,1526,4,1970,TA,1,1,2,3,0,1,86000
RM,2665,5,1976,TA,1,3,4,4,1,1,115000
RM,1890,6,1973,TA,1,3,4,7,0,1,113000
RL,2308,6,1974,TA,2,3,4,6,1,2,147000
RL,4043,6,1977,TA,2,2,3,4,0,2,140000
RM,6000,5,1957,Gd,1,3,4,5,0,1,112500
RM,4435,6,2003,Ex,1,1,2,4,0,2,140000
RM,1950,6,1980,TA,2,3,4,6,1,2,151000
RM,1936,4,1970,Gd,1,1,2,3,0,0,84500
RM,1680,6,1971,TA,1,3,4,6,0,1,88000
RL,2289,6,1978,TA,2,3,4,7,1,2,148500
RM,4426,6,2004,Ex,1,1,2,3,1,2,141000
RM,4426,6,2004,Ex,1,1,2,3,0,2,143000
RM,6000,4,1954,Ex,1,2,3,4,0,1,107900
RL,3182,7,2005,Ex,2,2,3,5,1,2,160200
RM,4438,6,2004,Ex,1,1,2,4,1,2,144500
RM,1680,6,1973,TA,1,2,3,5,0,1,100000
RM,4435,6,2003,Ex,1,1,2,3,0,2,131500
RM,1300,6,1980,TA,1,2,3,5,1,2,124000
RL,2308,6,1976,TA,2,3,4,7,1,2,155000
RL,2268,7,2003,Ex,2,2,3,6,0,2,173000
RL,3182,7,2007,Ex,2,2,3,6,1,2,159895
RL,4712,4,1946,TA,1,3,4,5,0,1,121600
RM,2217,4,1970,TA,1,3,4,6,0,1,88000
RM,1680,6,1972,Gd,1,3,4,7,0,1,118000
RM,1533,4,1970,TA,1,3,4,6,1,0,97000
RM,1477,4,1970,TA,1,1,2,3,0,1,80000
RM,4435,6,2004,Ex,1,1,2,3,1,2,155900
RM,1974,4,1973,TA,1,3,4,6,0,1,83500
RM,2522,7,2004,Ex,2,3,4,7,0,2,137500
RL,5868,5,1956,Ex,1,2,3,4,0,1,129000
RM,2016,5,1970,TA,2,3,4,6,0,2,106000
RL,5400,5,1954,Ex,1,2,3,4,0,1,117000
RL,2280,6,1978,Fa,2,3,4,7,1,2,146000
RM,1680,6,1971,TA,1,3,4,7,0,0,91500
RM,1680,5,1972,TA,2,3,4,6,0,1,119500
RM,3675,6,2005,Gd,2,2,3,5,0,2,140000
RM,3363,7,2004,Ex,2,3,4,7,0,2,130000
RL,5330,4,1940,Gd,1,2,3,5,0,0,82500
RM,2368,5,1970,TA,1,3,4,7,0,2,125000
RM,4435,6,2003,Ex,1,1,2,4,0,2,144000
RM,1953,6,1973,TA,1,2,3,5,0,1,83000
RL,4043,6,1977,TA,2,2,3,4,1,2,127500
RM,4435,6,2003,Ex,1,1,2,3,0,2,136500
RL,4928,6,1976,TA,2,2,3,5,0,2,143750
RM,4426,6,2004,Ex,1,1,2,3,1,2,149300
RM,1533,5,1970,Ex,1,1,2,3,0,0,92000
RM,3675,5,2005,Gd,1,2,3,5,0,2,145000
