"","Zona","Area","Qualidade","AnoConstrucao","QualidadeAquecimento","Banheiros","Quartos_t1","Quartos_t2","Comodos","Lareiras","Garagem","Preco","PrecoRF","PrecoRG","PrecoDT"
"1","RM",4224,"5",1976,"TA",1,3,4,6,1,2,129900,130747.268681319,130506.792772888,140345.454545455
"2","RM",4608,"4",1945,"TA",1,2,3,4,0,1,80000,92858.0905050505,88480.7561102513,94133.3333333333
"3","RM",1596,"4",1973,"TA",1,2,3,5,0,1,91000,92225.0687608144,88480.7561102513,94133.3333333333
"4","RM",4500,"6",1998,"Ex",2,2,3,5,0,2,153500,147718.035436616,138011.436256679,140345.454545455
"5","RM",6000,"5",1948,"Ex",1,2,3,5,0,1,115000,114978.645,117200.552941926,118000
"6","RL",4928,"6",1976,"TA",2,2,3,5,1,2,128000,135536.224835609,146055.422363671,142694.444444444
"7","RM",2522,"6",2004,"Ex",2,3,4,7,0,2,130000,133565.760665446,138011.436256679,140345.454545455
"8","RL",5500,"4",1956,"Ex",1,1,2,4,0,0,103200,103461.377773109,100150.159347907,105920
"9","RM",2522,"7",2004,"Ex",2,3,4,7,0,2,130000,133994.643332112,138011.436256679,140345.454545455
"10","RL",2280,"6",1976,"TA",2,3,4,7,1,2,148500,147827.777093185,146055.42236367,142694.444444444
"11","RM",4438,"6",2004,"Ex",1,1,2,3,1,2,149000,147439.564402366,147438.449734515,140345.454545455
"12","RM",3500,"5",1947,"TA",1,2,3,5,0,1,110000,109717.871666667,100268.895980299,118000
"13","RL",3010,"7",2005,"Ex",2,2,3,5,0,2,167240,159391.2200497,153560.065847461,162867
"14","RM",1680,"5",1971,"TA",2,3,4,6,0,1,112000,110809.865007215,100268.895980299,102125
"15","RM",1869,"6",1970,"TA",1,2,3,5,0,1,106000,98050.9911201217,100268.895980299,94133.3333333333
"16","RM",1680,"6",1972,"TA",1,2,3,5,1,1,94500,99359.4382079032,109695.909458135,94133.3333333333
"17","RM",1680,"6",1971,"TA",1,2,3,5,0,1,89500,94578.7806317212,100268.895980299,94133.3333333333
"18","RM",3880,"5",1945,"Gd",1,2,3,4,0,0,110500,107307.676666667,96147.4696545663,118000
"19","RM",2592,"5",1976,"TA",1,3,4,4,0,1,85000,101578.176886447,100268.895980299,102125
"20","RL",2448,"7",2003,"Ex",2,2,3,6,0,2,154000,157758.770809163,153560.065847461,162867
"21","RM",4224,"5",1976,"TA",1,3,4,6,1,2,134000,130747.268681319,130506.792772888,140345.454545455
